order_id,account_id,bank_to,account_to,category,amount
35787,4346,AB,19900185, ,306.7
33421,2720,AB,33301061, ,471.9
43914,9790,AB,42063897, ,99.3
29827,282,AB,4248011, ,80.2
30573,804,AB,77494382, ,68.2
34818,3669,AB,20263856, ,129.8
31216,1242,AB,62675297, ,367.4
31700,1565,AB,37661731, ,209.5
30303,619,AB,96250706, ,653.8
31330,1318,AB,50830727, ,176.2
31587,1483,AB,39453744, ,270.1
36619,4907,AB,5604631, ,125.3
40359,7424,AB,79838293, ,111
30262,580,AB,27916240, ,171.5
30827,982,AB,29559022, ,18.8
33285,2638,AB,13954824, ,72.8
34495,3440,AB,76361179, ,0.5
35253,3972,AB,33554858, ,201.2
29433,25,AB,79838293, ,111
30719,897,AB,1613778, ,667.6
32479,2101,AB,83940368, ,60
32895,2371,AB,87190907, ,79.3
34516,3463,AB,65683340, ,518.6
35219,3946,AB,14122963, ,460.7
32493,2111,AB,14447975,leasing,461.98999999999995
30408,685,AB,46590065,leasing,384.71999999999997
30346,649,AB,90564441,leasing,343.01
29780,248,AB,15760773,leasing,248.49
34531,3468,AB,32682919,leasing,162.9
32656,2216,AB,73169725,leasing,470.5
35237,3959,AB,40621632,leasing,168.06
31956,1749,AB,64197915,leasing,456.08000000000004
41592,8212,AB,97101723,leasing,128
31316,1309,AB,95435869,leasing,260
40675,7618,AB,12091774,leasing,236.24
32931,2393,AB,73102003,leasing,125.3
33682,2891,AB,25900477,leasing,175.6
30915,1031,AB,13939214,leasing,55.1
35796,4356,AB,75449079,leasing,100.3
39629,6910,AB,23767364,leasing,239.15
37838,5692,AB,42425257,leasing,165.35999999999999
30139,485,AB,58655077,leasing,262.96
31353,1328,AB,49398750,leasing,324.98
32627,2192,AB,96580189,leasing,185.2
35088,3860,AB,27327156,leasing,124.85
42581,8896,AB,6663299,leasing,247.45999999999998
32172,1896,AB,37679821,leasing,179.15
33183,2551,AB,68646061,leasing,239
30012,401,AB,66742342,household,360
30227,552,AB,68878775,household,209.7
32367,2027,AB,28182983,household,347.6
29425,20,AB,3399968,household,200.3
30640,853,AB,85631608,household,467.3
42783,9031,AB,35263872,household,422.8
29852,295,AB,78368478,household,699.2
30358,657,AB,72237545,household,106.6
30660,862,AB,95404332,household,312.2
30897,1021,AB,37461710,household,225.9
30952,1062,AB,56361120,household,784.4
31608,1496,AB,4760909,household,693.1
33418,2719,AB,84430861,household,288.9
33933,3059,AB,37264526,household,143.3
37422,5422,AB,38885069,household,83.2
39305,6688,AB,1844835,household,175.3
44836,10404,AB,3621232,household,217.1
31776,1616,AB,24604940,household,264.2
31926,1726,AB,99886172,household,443.8
32561,2154,AB,22301203,household,212.6
32910,2379,AB,13537359,household,319
33613,2841,AB,5304688,household,353.6
42874,9093,AB,28652066,household,131.1
29905,338,AB,37576079,household,225.2
31511,1427,AB,54532253,household,604.6
33003,2442,AB,89339786,household,54
34615,3536,AB,57065409,household,258.9
38190,5944,AB,49417829,household,468.5
29920,350,AB,77066629,household,379.1
31718,1571,AB,54680818,household,769.2
31730,1581,AB,55002999,household,575.8
33720,2918,AB,49901193,household,1048.7
35002,3799,AB,1355666,household,467.3
29712,205,AB,99149345,household,429.7
31921,1723,AB,25436383,household,109.2
32690,2239,AB,74974190,household,735.5
32825,2326,AB,48282474,household,342.2
33930,3056,AB,36077541,household,86.8
30105,469,AB,32004195,household,267.2
31449,1390,AB,35191500,household,101.1
32041,1803,AB,29663437,household,147.4
32399,2049,AB,66625147,household,485.4
33216,2580,AB,96968262,household,501.6
33794,2968,AB,52683812,household,139.4
34466,3421,AB,66145115,household,864
35826,4383,AB,54309666,household,835.2
32768,2289,AB,28453374,household,530.9
43825,9731,AB,50025022,household,496.7
31239,1256,AB,72944313,household,117.8
32767,2288,AB,28359425,household,541.1
33226,2589,AB,55523544,household,145.8
33270,2624,AB,69800835,household,1074.4
29474,48,AB,50218236,household,626.8
30207,536,AB,56864386,household,82.7
30956,1068,AB,6389087,household,473.7
31227,1248,AB,25126809,household,317.6
31420,1369,AB,25008797,household,600.5
32187,1905,AB,28957480,household,350.6
34839,3683,AB,55347096,household,311.4
31002,1098,AB,2207518,household,61.9
31180,1217,AB,9696394,household,15.1
31199,1228,AB,34928244,household,198
33938,3062,AB,21810698,household,263.8
34120,3185,AB,90867876,household,640.4
34123,3188,AB,82353186,household,762.3
34236,3260,AB,89460461,household,846.2
34404,3380,AB,38360536,household,437.6
36116,4580,AB,90886467,household,872.3
40655,7606,AB,99149345,household,426.8
30702,884,AB,15814888,household,225.9
31853,1671,AB,10778803,household,250.7
30759,925,AB,8015108,household,539.5
31435,1379,AB,47752141,household,695.3
31658,1532,AB,67652118,household,790.3
33459,2745,AB,76602530,household,107.6
29589,112,AB,41812431,household,205.1
29717,208,AB,9118587,household,414.8
30288,608,AB,57903474,household,289.5
30442,711,AB,97111349,household,324.3
31243,1258,AB,56178200,household,75.9
34217,3248,AB,45627826,household,279.3
35239,3961,AB,38375651,household,230.9
31760,1601,AB,43843287,household,269.4
32675,2231,AB,8985472,household,218.1
33344,2670,AB,38848883,household,397.8
34027,3119,AB,77515130,household,114.4
34703,3605,AB,77193778,household,441
34765,3633,AB,84880846,household,703.7
42120,8566,AB,72264265,household,55.5
30619,837,AB,57949954,household,925
30762,927,AB,99075811,household,162.3
31458,1396,AB,60094183,household,1470.7
32730,2263,AB,68324535,household,792.7
32796,2311,AB,43163901,household,679.8
33359,2679,AB,25353056,household,384.2
33489,2763,AB,90810441,household,948
35171,3914,AB,39802485,household,611.8
30206,536,AB,84382724,household,174.2
30651,857,AB,51452183,household,301.9
30836,986,AB,23655325,household,214.6
31699,1565,AB,92115938,household,61
32915,2382,AB,6405681,household,312.3
29784,251,AB,92959981,household,305.9
31918,1718,AB,69613939,household,1445.6
32303,1988,AB,21216631,household,267.1
34109,3175,AB,73805624,household,328
34211,3244,AB,53532010,household,185.8
30372,666,AB,85506128,household,393.6
30617,836,AB,7416719,household,12.5
30705,886,AB,44119823,household,903.4
31680,1551,AB,436425,household,74.7
31848,1666,AB,31104207,household,216.4
31885,1693,AB,38757246,household,1127.6
31895,1700,AB,93968033,household,676.5
32456,2081,AB,25160008,household,202.8
32972,2423,AB,66884094,household,131.7
33784,2961,AB,60457706,household,60.6
35106,3871,AB,64580011,household,150.5
29642,157,AB,14697784,household,399.1
32150,1881,AB,4048985,household,204.6
32525,2134,AB,67233997,household,311.8
33108,2506,AB,40525519,household,1007.6
33762,2945,AB,32185286,household,185.4
30500,753,AB,81654536,household,160.2
33571,2819,AB,7996678,household,871.3
33591,2830,AB,33658105,household,698.1
30103,468,AB,87048482,household,373.5
30352,654,AB,49887746,household,288.5
33194,2559,AB,54144173,household,512.3
34169,3218,AB,79115420,household,144.9
41335,8039,AB,63169944,household,107.4
30185,519,AB,65870404,household,324.5
31566,1468,AB,25955593,household,43.9
30657,860,AB,19660163,household,807.1
31569,1470,AB,72926729,household,406
32196,1909,AB,56638652,household,4.3
32395,2047,AB,49330854,household,267
33264,2619,AB,54822903,household,545.4
33695,2903,AB,77294861,household,782.6
29668,176,AB,55640232,household,456.4
29994,393,AB,10808188,household,30.2
30222,548,AB,56284767,household,52.8
30332,637,AB,34624809,household,193.4
30343,646,AB,34125185,household,487.6
32820,2323,AB,70839428,household,644.6
34641,3555,AB,19062775,household,1257.8
35270,3984,AB,94890266,household,180.3
41471,8129,AB,67742585,household,618.4
42771,9024,AB,4807711,household,627
45670,10942,AB,71402126,household,1047.2
29628,146,AB,76565843,household,382.3
31971,1761,AB,93704944,household,304.8
32805,2317,AB,58933603,household,248.6
33513,2775,AB,56198441,household,869.1
34732,3617,AB,52725309,household,5.7
35104,3870,AB,91396879,household,367.3
45417,10774,AB,56546854,household,372.8
30471,729,AB,49945181,household,187.2
32334,2008,AB,98016315,household,54.3
33247,2606,AB,91720389,household,3.1
33665,2880,AB,74414473,household,750.1
35403,4079,AB,19063937,household,500.9
31791,1628,AB,57004982,household,285
33169,2545,AB,584811,household,263.7
34032,3122,AB,14967674,household,494.4
35272,3986,AB,78493797,household,396
30753,922,AB,51777029,household,89.8
31404,1361,AB,67573106,household,619.5
31740,1591,AB,70031231,household,768
31886,1695,AB,53282368,household,1465.8
35433,4099,AB,31954735,household,192.6
34651,3561,AB,87848221,household,178.9
31171,1209,AB,9581202,household,356.8
31225,1246,AB,34252166,household,323.9
34630,3549,AB,58160090,household,326.5
34837,3681,AB,62512141,household,779.7
34846,3691,AB,56120270,household,326.7
41835,8381,AB,88732933,household,74
32848,2342,AB,54005241,household,216.4
34624,3544,AB,94637792,household,1097.5
29410,6,AB,44486999,household,395.4
32072,1824,AB,51449030,household,31.9
32173,1896,AB,81584167,household,946.3
32201,1912,AB,72722065,household,323.2
33477,2755,AB,13263649,household,326.3
33636,2862,AB,80541097,household,137.1
33870,3016,AB,78590231,household,851.7
34322,3319,AB,20696419,household,6.6
34335,3330,AB,93315863,household,571.3
34628,3547,AB,35709709,household,268.4
30033,414,AB,96403741,household,787
30080,449,AB,84388368,household,16.4
30429,696,AB,64442080,household,28
30732,906,AB,85822999,household,224
31176,1213,AB,19831466,household,298.4
34786,3646,AB,43066799,household,285.5
34946,3759,AB,45222652,household,164.2
36957,5133,AB,50449115,household,28.6
46126,11231,AB,4824811,household,978.3
31110,1171,AB,8577967,household,789.3
32937,2396,AB,75456380,household,254.8
34331,3328,AB,72908800,household,330
34979,3780,AB,77057331,household,124.1
30190,524,AB,71994364,household,576.8
30267,588,AB,29001635,household,314.1
30292,611,AB,98749815,household,228.4
30778,938,AB,33329439,household,328.2
31768,1608,AB,7212549,household,342.5
31856,1673,AB,20515662,household,244.7
32466,2088,AB,86339223,household,324
33398,2703,AB,7336545,household,208.2
29758,237,AB,13233763,household,15.2
31329,1318,AB,10788429,household,867.7
31995,1774,AB,60821378,household,217
32462,2085,AB,3505379,household,212.4
34002,3100,AB,66114073,household,22.2
34292,3301,AB,16176736,household,495.6
34951,3763,AB,57082331,household,323.2
30106,470,AB,41005563,household,356.8
32029,1798,AB,9787851,household,260.2
32309,1992,AB,63505238,household,414
33535,2795,AB,62608569,household,172.2
30707,888,AB,42709922,household,159.2
32333,2006,AB,73561632,household,37.1
33678,2890,AB,53374159,household,266.1
34159,3213,AB,80640691,household,148.3
34329,3327,AB,65687149,household,192.3
29904,336,AB,40453487,household,406.7
30954,1067,AB,90449589,household,781.1
32146,1877,AB,71872693,household,119.8
32586,2169,AB,49559926,household,623.5
33060,2482,AB,35457408,household,738.1
33179,2550,AB,94691901,household,682.8
34271,3287,AB,77842962,household,696.8
34822,3672,AB,42041498,household,238.8
35006,3800,AB,68339317,household,129.4
35965,4471,AB,60353129,household,1131.8
34606,3526,AB,66721755,household,455.9
34778,3640,AB,21871125,household,204
34803,3657,AB,71329426,household,153.3
35100,3867,AB,21799749,household,547.6
32317,1997,AB,81057321,household,58.1
45606,10905,AB,20420891,household,293.9
29684,188,AB,26629168,household,742.6
29859,304,AB,27760046,household,1436.7
30783,943,AB,8294791,household,214.4
32225,1931,AB,34779352,household,489.8
34711,3608,AB,49062126,household,312.4
29696,195,AB,37868559,household,626
30046,426,AB,9528249,household,749.7
30557,792,AB,75295537,household,48.5
33095,2498,AB,17819351,household,422.3
33916,3050,AB,72762232,household,971.6
29531,83,AB,26468819,household,221
29853,296,AB,63953745,household,264.6
30642,854,AB,21777671,household,38.2
34725,3613,AB,67434847,household,403
44112,9928,AB,96968262,household,501.6
29678,183,AB,5552345,household,520.2
29836,289,AB,78823619,household,574.5
30092,458,AB,65390032,household,958.6
31495,1414,AB,31974488,household,192
31777,1617,AB,40236705,household,153.6
32552,2150,AB,37624383,household,201.9
33056,2479,AB,99287282,household,302.2
33241,2600,AB,15214342,household,437.9
33311,2650,AB,6979340,household,456.3
33785,2961,AB,11433631,household,105.5
35018,3808,AB,7896417,household,196.6
31630,1513,AB,52238965,household,163.2
33087,2494,AB,82410615,household,69.3
33266,2621,AB,59638219,household,281.9
33436,2729,AB,18292260,household,873.3
35879,4415,AB,8593738,household,460.1
34117,3182,AB,83704822,household,645.5
35266,3981,AB,83879112,household,138.3
41332,8038,AB,66150927,household,521.5
34324,3320,AB,62426316,household,207.5
42790,9034,AB,22182023,ins_paymt,911.5
39927,7099,AB,62618040,ins_paymt,52.8
30995,1095,AB,69525956,ins_paymt,89.6
34008,3103,AB,37620896,ins_paymt,424.4
37254,5313,AB,62256020,ins_paymt,95.8
32555,2151,AB,65584575,ins_paymt,22.3
31161,1203,AB,89206337,ins_paymt,11.8
35207,3936,AB,8674580,ins_paymt,43.2
32560,2153,AB,94730412,ins_paymt,222.3
30601,823,AB,51397413,ins_paymt,61.2
34572,3491,AB,50632536,ins_paymt,495.3
34983,3782,AB,96572547,ins_paymt,1060.8
32619,2189,AB,32410866,ins_paymt,280.3
29900,333,AB,13184309,ins_paymt,29.2
30142,485,AB,20747721,ins_paymt,357.2
31610,1496,AB,44200831,ins_paymt,3.3
29716,207,AB,83722591,ins_paymt,272.6
29675,179,AB,11941713,ins_paymt,37.8
30510,760,AB,76297777,ins_paymt,90.9
31523,1437,AB,52723318,ins_paymt,6.5
34311,3312,AB,79964786,ins_paymt,33
33561,2813,AB,7243586,ins_paymt,22.7
39997,7136,AB,13272279,ins_paymt,54.7
30411,686,AB,65920859,ins_paymt,98.3
32227,1931,AB,90722965,ins_paymt,130.2
33616,2842,AB,97435020,ins_paymt,86.2
30655,859,AB,76049786,ins_paymt,165.7
32038,1801,AB,73968469,ins_paymt,95.6
30212,541,AB,50762343,ins_paymt,562.6
32779,2297,AB,97796540,ins_paymt,68.9
31270,1276,AB,23086488,ins_paymt,16.9
32323,2000,AB,32802260,ins_paymt,1.4
39307,6688,AB,44432550,ins_paymt,57
29880,319,AB,559258,ins_paymt,41.6
32001,1777,AB,96171360,ins_paymt,165.7
44838,10404,AB,21209323,ins_paymt,10
42993,9167,AB,40962070,ins_paymt,54.5
37428,5423,AB,59710752,ins_paymt,406.8
33980,3090,AB,18386042,ins_paymt,64
45438,10789,AB,38727879,ins_paymt,267
33050,2475,AB,198555,ins_paymt,347.9
34655,3565,AB,17042690,ins_paymt,41
35176,3916,AB,23392904,ins_paymt,257
33062,2482,AB,8125150,ins_paymt,8.5
29406,3,AB,59972357,ins_paymt,353.9
31742,1591,AB,34176314,ins_paymt,15.3
33915,3050,AB,71189987,loan_payt,690.75
41266,7990,AB,48107528,loan_payt,302
33814,2982,AB,34302795,loan_payt,343.8
43469,9493,AB,57428258,loan_payt,393.08000000000004
38191,5944,AB,50435006,loan_payt,164
43025,9201,AB,85031735,loan_payt,510.3
31282,1284,AB,29951918,loan_payt,437.55
39324,6699,AB,40932357,loan_payt,265.02
45212,10645,AB,62736219,loan_payt,578.7
30554,789,AB,13870329,loan_payt,152.2
38359,6051,AB,22275466,loan_payt,768.5
41749,8321,AB,48114669,loan_payt,148.4
41351,8051,AB,43162244,loan_payt,434
34502,3448,AB,16375589,loan_payt,286.07
40947,7795,AB,32384473,loan_payt,620.2
32870,2352,AB,25421935,loan_payt,82.4
30590,817,AB,75855749,loan_payt,897.5
35781,4342,AB,4569364,loan_payt,417.2
31262,1270,AB,27904290,loan_payt,207.73000000000002
33387,2699,AB,41725951,loan_payt,481.6
33875,3021,AB,86677175,loan_payt,324.18
43436,9472,AB,21299124,loan_payt,303.3
44894,10436,AB,4855519,loan_payt,151.1
44899,10439,AB,78703766,loan_payt,631.5
40565,7546,AB,36362540,loan_payt,349.58000000000004
41653,8261,AB,89613669,loan_payt,365.98
32735,2268,AB,38343775,loan_payt,56.1
35231,3953,AB,85838764,loan_payt,529.77
33123,2516,AB,61216103,loan_payt,972.1
45704,10963,AB,61788761,loan_payt,321.66999999999996
34642,3556,AB,15446061,loan_payt,291.38
42056,8523,AB,52086591,loan_payt,775.33
39284,6678,AB,46673387,loan_payt,613.3
41468,8127,AB,15843767,loan_payt,649.48
44903,10440,AB,1623732,loan_payt,100
31223,1244,AB,67696446,loan_payt,74.8
39990,7133,AB,27370810,loan_payt,135.2
40088,7184,AB,95096921,loan_payt,648.5
42084,8547,AB,64253020,loan_payt,480.65
39924,7099,AB,75017177,loan_payt,488.25
29815,276,AB,22070646,loan_payt,447.05
35951,4462,AB,98249196,loan_payt,277.03000000000003
35245,3967,AB,28307140,loan_payt,234.95
35802,4361,AB,55740487,loan_payt,751.27
37257,5317,AB,69538569,loan_payt,250.48000000000002
39841,7052,AB,10413468,loan_payt,177.67000000000002
34277,3293,AB,78677373,loan_payt,766.87
45271,10679,AB,88228171,loan_payt,824.18
41991,8475,AB,42267400,loan_payt,87.8
42889,9104,AB,10966873,loan_payt,358.52
31801,1638,AB,8848363,loan_payt,267.6
34360,3353,AB,20473671,loan_payt,608.62
36325,4715,AB,94525420,loan_payt,404.9
45618,10915,AB,40481370,loan_payt,254.08
35684,4268,AB,28338015,loan_payt,349.9
36539,4858,AB,67520165,loan_payt,698.33
44523,10202,AB,31367302,loan_payt,636.33
43747,9677,AB,25327652,loan_payt,52.7
29973,379,CD,30392295, ,43.4
32934,2394,CD,11698562, ,18.2
34390,3368,CD,59722214, ,334.3
34998,3795,CD,41867381, ,667.9
32385,2038,CD,20491111, ,206.2
32639,2201,CD,42079347, ,39.1
34261,3276,CD,4509616, ,92.9
29499,65,CD,20976132, ,331.5
34116,3180,CD,25152552, ,195.4
34259,3275,CD,69099885, ,305.6
34362,3353,CD,19594610, ,5.8
30688,877,CD,26341355, ,151.3
30290,609,CD,14562350, ,73.2
34749,3626,CD,85035067, ,515.6
30524,771,CD,28503686, ,481.6
33487,2762,CD,75502043, ,73.3
45365,10738,CD,41088736, ,804.2
30923,1037,CD,38512766, ,6.2
31370,1340,CD,67103540, ,47.2
32559,2153,CD,79112446, ,1030.3
33610,2839,CD,79972260, ,16.6
34476,3426,CD,44458460, ,48.8
34736,3618,CD,40253979, ,82.6
35074,3850,CD,34453201, ,512
32088,1832,CD,19165534, ,13.9
34388,3367,CD,63311707, ,211.9
40656,7606,CD,41400957, ,585.6
32412,2054,CD,30685097, ,444.8
32496,2114,CD,42759567, ,174.2
30349,651,CD,54411101, ,406.2
32073,1824,CD,62974762, ,951.5
31476,1404,CD,76187407, ,12.3
31707,1567,CD,53102117, ,600
32090,1832,CD,85279571, ,593.3
32151,1881,CD,72414660, ,364
33317,2653,CD,82124638, ,231
33706,2911,CD,6411171, ,438.9
44564,10233,CD,70803910, ,5.3
32438,2069,CD,57790952, ,222.3
33115,2510,CD,54819261, ,9.2
44050,9883,CD,12663782, ,178
33011,2448,CD,6193393, ,119.3
29617,133,CD,30067122, ,512.3
31437,1380,CD,91279375, ,110
32510,2121,CD,4398906, ,338.2
33592,2830,CD,94782387, ,215
33345,2670,CD,70427286, ,475.4
29718,208,CD,77937751, ,176.7
44525,10202,CD,86462396, ,488
29662,173,CD,50065535, ,18.9
32226,1931,CD,16274184, ,2.3
31090,1160,CD,47398275, ,17.1
31637,1515,CD,84623413, ,77.4
33063,2482,CD,27061575, ,5.5
36929,5118,CD,97549569, ,44.6
30224,549,CD,87506788, ,302.4
33825,2986,CD,64366233, ,139
31188,1223,CD,87986993, ,496.3
31425,1373,CD,9301025, ,34.6
32765,2286,CD,33564162, ,210.9
30854,997,CD,66356766, ,3.6
29560,97,CD,33796209, ,241.1
33413,2715,CD,56625884, ,21.6
30860,1000,CD,8467102, ,147.5
33637,2862,CD,24443286, ,572.8
29562,97,CD,94469666, ,1.5
32458,2082,CD,92538064, ,178.2
34003,3100,CD,8754432, ,627.5
34281,3293,CD,46667754, ,22.1
30405,682,CD,62099003, ,53.7
30362,659,CD,72181445, ,10.7
33833,2991,CD,47281420, ,12.1
31598,1488,CD,64393782, ,23
32704,2247,CD,39011389, ,134.4
33799,2973,CD,26884633, ,21.2
30260,579,CD,61798560, ,106.5
36446,4794,CD,91262608, ,166
31563,1465,CD,77944719, ,21.8
31693,1560,CD,89837598, ,24.4
32379,2035,CD,27185577, ,91.7
32383,2037,CD,40179944, ,853.5
34393,3369,CD,76031207, ,300.7
30015,402,CD,98438930, ,221.1
30110,471,CD,97181409, ,93.1
32662,2221,CD,6097948, ,71.9
30323,632,CD,54220384, ,19.9
34752,3628,CD,23473745, ,18.9
29405,3,CD,24485939, ,32.7
40704,7636,CD,10650349, ,32.5
33389,2699,CD,32435608, ,66.2
30258,578,CD,84361481, ,5.7
33074,2487,CD,60394644, ,22.8
35012,3804,CD,46665102, ,445.8
40431,7465,CD,49864357, ,285
33685,2894,CD,24206251,leasing,373.58000000000004
35978,4478,CD,49646252,leasing,70.7
32665,2224,CD,33305394,leasing,232.42
30093,458,CD,51641261,leasing,103.1
35964,4471,CD,9000087,leasing,302.91999999999996
31310,1304,CD,84192180,leasing,236.89000000000001
38091,5868,CD,64549314,leasing,176.2
35772,4336,CD,16882026,leasing,455.6
30242,568,CD,60686451,leasing,140.8
30250,573,CD,80680703,leasing,224.9
29862,308,CD,17178321,leasing,128.4
40158,7231,CD,3170419,leasing,228.32
31515,1432,CD,68369197,leasing,326.71999999999997
29554,96,CD,62272125,leasing,442.21000000000004
31547,1456,CD,25505447,leasing,125.08
30312,625,CD,76538800,leasing,260.71999999999997
31601,1490,CD,39819097,leasing,165.77
35424,4091,CD,73299705,leasing,90.7
33271,2625,CD,57670444,leasing,192.2
31341,1321,CD,3041947,leasing,63.6
34434,3402,CD,36531198,leasing,119.7
35506,4150,CD,57309913,leasing,127.3
32409,2052,CD,77256530,leasing,179.9
29583,108,CD,62673318,household,480.3
30614,834,CD,48387557,household,247.3
32136,1868,CD,26658559,household,1211.1
34435,3402,CD,91337632,household,365.6
34926,3749,CD,99050771,household,390.4
29704,199,CD,15875643,household,198.4
34474,3425,CD,15378684,household,264.6
39986,7133,CD,49628651,household,268.3
30484,739,CD,15982044,household,550.4
29459,39,CD,77015351,household,14.5
29695,194,CD,39405787,household,264.8
29785,252,CD,91842740,household,176.7
30546,785,CD,69687145,household,739.5
30565,795,CD,39119124,household,297.6
30662,863,CD,35133409,household,608.7
31304,1299,CD,17364889,household,31.7
32121,1857,CD,39414250,household,429.5
32209,1918,CD,53045350,household,423.1
34694,3595,CD,30129873,household,786.8
30566,798,CD,6413495,household,218.2
31021,1110,CD,84862774,household,542.7
33449,2738,CD,1114500,household,776.2
34683,3585,CD,78560203,household,286.2
29761,239,CD,96977406,household,104.2
30284,605,CD,93390070,household,687.6
30599,823,CD,43020331,household,6.2
30791,950,CD,13765102,household,891
31013,1102,CD,19876456,household,355.9
31153,1201,CD,73948222,household,587.3
31722,1575,CD,10936338,household,299.8
35209,3938,CD,83267962,household,386.9
41895,8411,CD,50854969,household,581.2
43026,9201,CD,29740798,household,1346.1
30181,516,CD,22182691,household,373.6
30446,715,CD,61029869,household,287.7
33314,2652,CD,2992314,household,173.5
33405,2709,CD,63955408,household,196.9
33813,2981,CD,49108111,household,202.2
34251,3271,CD,83911329,household,252.7
29988,388,CD,48455613,household,652.4
31482,1406,CD,43622702,household,45.8
31671,1542,CD,9322101,household,265.5
31728,1579,CD,79833501,household,337.7
32881,2363,CD,96414541,household,152.5
33653,2872,CD,99307715,household,404
29738,221,CD,98228793,household,789.6
29825,281,CD,31156671,household,557.8
33042,2472,CD,61095434,household,410.9
45619,10915,CD,80617797,household,259.6
30800,957,CD,90061181,household,212.6
32291,1976,CD,86137228,household,340.8
32907,2377,CD,25924396,household,30.5
34187,3228,CD,86360150,household,384.7
34746,3625,CD,78479534,household,154.4
34755,3629,CD,72661483,household,189.4
35156,3903,CD,41765970,household,658.3
35382,4066,CD,35107851,household,689.3
29972,379,CD,35418421,household,156.1
30032,413,CD,49738037,household,210.7
30353,655,CD,91412663,household,189.9
31260,1269,CD,70135479,household,684
33278,2631,CD,16949427,household,212.5
33603,2836,CD,56261038,household,947.2
33994,3096,CD,81572884,household,644.6
39649,6924,CD,76091629,household,458.5
29476,49,CD,83233099,household,310.2
29564,98,CD,94078754,household,156.9
30059,437,CD,83092337,household,224.8
31315,1308,CD,27181756,household,320.6
32274,1964,CD,4341131,household,243.8
33148,2534,CD,6917608,household,219
33984,3093,CD,40338969,household,423.8
29596,117,CD,59419953,household,232.9
32457,2082,CD,31757211,household,82.2
35177,3917,CD,89179288,household,236.2
29865,311,CD,93944477,household,477.7
42415,8772,CD,19611203,household,735.7
29909,340,CD,26790029,household,91.7
30121,477,CD,7729125,household,266
30943,1055,CD,7340211,household,204.7
