index,card_id,disp_id,type,card_number,date,end_date
47,1424,4553,classic,6525246808590642,2020-02-22,2021-12-26
65,1442,13382,classic,6011587856893102,2018-04-17,2019-08-15
6,1383,3944,classic,2234024724906064,2019-12-15,2020-06-21
8,1385,3465,classic,180088898505398,2019-07-20,2020-12-07
48,1425,11771,classic,4636111925632582103,2021-04-08,2021-12-28
84,1461,2226,classic,583607331506,2018-11-06,2020-07-12
3,1380,1812,classic,6011632083530588,2018-06-22,2019-07-06
17,1394,1220,classic,4385050536698,2019-12-10,2021-04-12
1,1378,1876,classic,30549973835168,2017-05-22,2019-03-09
25,1402,1133,classic,4834831140171,2020-01-27,2021-07-27
44,1421,1388,classic,3500211528404058,2021-05-18,2021-11-14
38,1415,3448,classic,30034460984886,2021-03-30,2021-12-11
20,1397,4701,classic,4513011570553169472,2020-08-20,2021-04-10
32,1409,3414,classic,6518398874004773,2020-05-03,2021-10-03
13,1390,4100,classic,4488068206493298,2020-01-10,2021-01-04
36,1413,1930,classic,30088429623381,2021-04-09,2021-11-26
69,1446,7422,classic,6011463603976733,2018-07-13,2019-11-17
33,1410,2977,classic,4941937672268510,2021-04-28,2021-11-30
66,1443,2555,classic,3517034090748517,2019-03-31,2019-09-25
42,1419,9,classic,213140434901903,2020-06-17,2021-11-02
60,1437,778,classic,36478719211548,2017-07-11,2018-10-14
15,1392,2122,classic,4734223449340705,2019-12-31,2021-02-14
14,1391,79,classic,4274634179742603,2020-08-12,2021-01-02
28,1405,3075,classic,180082201521705,2020-08-01,2021-09-21
61,1438,4532,classic,2720889479416357,2017-10-13,2018-11-20
75,1452,3583,classic,3546567301439983,2019-01-19,2020-02-09
34,1411,1453,classic,4850567002968908,2021-02-12,2021-11-08
49,1426,5978,classic,30119632295681,2020-12-31,2021-12-26
5,1382,1842,classic,4682809888850840,2018-04-10,2020-04-13
41,1418,1579,classic,38389966665948,2021-07-27,2021-12-28
82,1459,2481,classic,340168560405973,2019-06-08,2020-07-11
45,1422,1536,classic,639024042751,2020-09-16,2021-12-26
53,1430,1066,classic,4854345971738503,2017-02-22,2017-12-03
46,1423,2820,classic,4145829561938440,2020-12-23,2021-12-22
40,1417,9333,classic,4514176419008510,2020-06-23,2021-11-05
7,1384,1089,classic,213186799939467,2019-11-24,2020-10-19
24,1401,326,classic,373848381528208,2020-09-20,2021-06-21
70,1447,4832,classic,3560540890084545,2019-01-19,2019-11-03
30,1407,1777,classic,4943890244410912,2019-11-08,2021-10-21
81,1458,1850,classic,639000713557,2018-08-20,2020-05-02
58,1435,13660,classic,4745033884442,2017-03-02,2018-09-15
59,1436,4211,classic,4188570062059818061,2017-09-14,2018-09-07
29,1406,2320,classic,4010384850122415,2020-02-03,2021-08-04
27,1404,7683,classic,2720903639059500,2020-02-25,2021-09-17
9,1386,1067,classic,6011576713651183,2019-11-16,2020-11-26
67,1444,4343,classic,4982203670876667,2018-08-12,2019-12-24
21,1398,562,classic,4626101340892167,2020-08-25,2021-05-19
39,1416,2489,classic,675903334976,2020-12-30,2021-11-28
26,1403,2951,classic,6011410305067394,2020-06-07,2021-08-19
78,1455,4638,classic,676271369081,2019-06-13,2020-05-10
37,1414,1811,classic,4240942921420357,2021-03-30,2021-12-16
63,1440,5233,classic,6553725852097385,2018-06-21,2019-04-10
76,1453,1890,classic,4599633431964045321,2018-09-18,2020-01-30
64,1441,238,classic,30574059373231,2017-12-28,2019-06-19
35,1412,12787,classic,376790485075123,2020-10-10,2021-11-10
16,1393,2445,classic,3533147667948649,2019-10-07,2021-02-08
56,1433,2984,classic,3572092763916649,2016-12-29,2018-06-06
10,1387,2715,classic,4377789071147,2019-09-06,2021-01-01
50,1427,2388,classic,30554927956987,2021-02-24,2021-12-25
79,1456,6644,classic,630412964128,2019-01-12,2020-05-02
0,1377,1629,classic,4409296552640545,2017-05-20,2019-02-15
57,1434,4791,classic,30534766737516,2016-12-29,2018-08-07
19,1396,3667,classic,4572640213347050,2019-05-28,2021-03-24
23,1400,2815,classic,6011879695704594,2020-01-24,2021-07-13
4,1381,12635,classic,3531449700285605,2018-08-11,2019-10-30
22,1399,1718,classic,4181144886848594696,2019-12-28,2021-07-25
68,1445,1779,classic,3592190670338281,2019-03-31,2019-10-27
71,1448,10887,classic,4007923003647722940,2019-05-06,2019-12-21
54,1431,2363,classic,377219129927647,2016-12-21,2018-04-11
52,1429,694,classic,6544251281165075,2020-08-19,2021-12-28
18,1395,1707,classic,38202725419665,2019-10-22,2021-01-19
31,1408,3253,classic,2711003169635034,2019-12-26,2021-12-03
73,1450,3477,classic,4400967660781442,2018-09-20,2020-02-03
25,1331,5978,gold,4297063076201443,2021-12-22,
56,1362,1179,gold,213142009225114,2021-11-28,
30,1336,2122,gold,347059655765905,2021-08-06,
16,1322,79,gold,4626044307450757039,2021-03-09,
19,1325,2815,gold,6568450286520380,2021-08-07,
2,1308,1536,gold,4546088661509029981,2021-11-18,
24,1330,2820,gold,4749586820180665,2021-12-10,
19,884,7286,gold,30242221924576,2020-07-31,
57,1363,9409,gold,3533805810175010,2020-10-15,
69,561,3581,gold,563930541542,2021-09-28,
41,1347,4553,gold,4496304011410,2021-11-24,
35,1341,2688,gold,38049135815028,2020-04-06,
62,1368,3378,gold,4221019913370388,2021-10-05,
12,1318,3944,gold,374646178238943,2020-06-25,
58,1364,12502,gold,4030287524768503,2020-10-28,
9,565,3601,gold,4796783581233,2020-01-06,
65,1371,1799,gold,501853135462,2020-12-24,
50,1356,3075,gold,4010833978906,2021-07-12,
13,1319,2388,gold,676104800054,2021-12-15,
82,1177,12535,gold,372071332179176,2021-12-06,
26,1332,326,gold,4274741365656672209,2021-10-18,
44,1350,2977,gold,375547645073914,2021-10-10,
33,1339,1707,gold,4450708437188020467,2021-01-25,
3,1309,12635,gold,4907819106582231,2021-01-10,
64,1370,2156,gold,6520402366767776,2021-12-20,
8,1314,1718,gold,3500588347520762,2021-04-14,
14,1320,4522,gold,344967873763754,2021-05-30,
39,599,3824,gold,30538440541855,2021-03-08,
43,1349,1777,gold,3504176380908098,2021-08-05,
31,1337,2445,gold,213144568162761,2021-09-03,
53,1359,3753,gold,5412455367069454,2021-12-26,
10,706,4559,gold,30455386845937,2020-01-16,
21,1327,2951,gold,213101383405981,2021-10-07,
23,1329,3128,gold,4381097729061185698,2021-12-26,
1,1307,3414,gold,588821622242,2021-09-12,
52,354,2265,gold,502046377250,2021-06-30,
45,1351,7683,gold,4162305316540730,2021-06-04,
68,1374,4405,gold,4037494908868924,2020-11-10,
4,1310,3667,gold,4392643274880173,2021-07-23,
0,208,1246,gold,4570565092686512,2018-02-08,
37,1343,1812,gold,3589568515540184,2021-03-21,
47,1353,562,gold,345191846923283,2021-08-07,
44,263,1668,gold,340994897536531,2021-04-17,
42,1348,4100,gold,2224369751136545,2021-06-22,
36,1342,1842,gold,3534172348857737,2021-07-29,
45,761,5128,gold,213113272833272,2021-04-23,
60,1366,928,gold,3550270600805037,2021-12-22,
1,3,41,gold,3582430224387851,2018-09-03,
22,1328,1811,gold,6546631006951891,2021-11-23,
7,1313,1089,gold,4507348386940880291,2021-08-14,
38,1344,11771,gold,3527599289781089,2021-12-01,
17,1323,3465,gold,6011649360551525,2021-10-19,
85,506,3236,gold,4089715855576525,2021-12-19,
18,1095,11023,gold,4637575626699312,2020-07-28,
61,1367,1289,gold,3585129028980245,2020-08-12,
69,1375,3292,gold,2284884608527727,2021-04-08,
48,1354,9,gold,4809642455344097,2021-12-25,
8,99,548,gold,675986687241,2019-10-09,
52,1358,7127,gold,4351951861294222,2021-02-17,
39,1345,2715,gold,060414381040,2021-12-19,
27,1333,1629,gold,676367061634,2020-05-13,
13,490,3136,gold,344776014490866,2020-02-07,
49,1355,3134,gold,4654035069236,2021-10-30,
54,1360,2125,gold,5388209445898701,2021-06-30,
51,1357,1220,gold,36587867132957,2020-12-19,
55,1076,10604,gold,347319019647912,2021-07-27,
5,1311,1388,gold,4318478633866964,2021-11-02,
20,238,1452,gold,4945116819899,2020-08-17,
15,1321,1453,gold,4197407938329879,2021-12-12,
32,1338,1133,gold,213180581191221,2021-05-15,
6,1312,3448,gold,2268026813686324,2021-09-22,
29,1335,2320,gold,3557434636373237,2021-06-21,
11,1317,9333,gold,4286813586791371,2021-10-03,
154,637,4094,junior,213176148299622,2020-08-06,
93,314,1999,junior,349511147397638,2018-01-27,
167,474,3066,junior,180014313137393,2021-01-24,
225,523,3319,junior,4355274505183,2021-11-23,
157,91,504,junior,4005862844472654,2020-09-01,
119,121,666,junior,4333575399869452435,2019-07-22,
199,73,451,junior,586452189259,2021-07-21,
117,44,268,junior,630474235292,2019-05-17,
190,700,4533,junior,213163498718443,2021-05-22,
228,657,4246,junior,3533103594091979,2021-12-02,
164,481,3102,junior,375473210259194,2021-01-06,
197,571,3627,junior,347286392532146,2021-07-13,
180,315,2005,junior,4472025862985,2021-03-24,
121,24,153,junior,30578035216224,2019-08-05,
209,634,4081,junior,060452129517,2021-09-22,
123,1043,9974,junior,345693844900601,2019-08-14,
105,504,3230,junior,4391361448011,2018-11-06,
210,629,4018,junior,060432380594,2021-09-25,
90,174,1039,junior,3549991787412107,2017-12-04,
185,602,3846,junior,630441088352,2021-04-18,
138,112,626,junior,342426737887293,2020-01-19,
141,647,4171,junior,6585295730499791,2020-03-21,
153,413,2592,junior,503841526901,2020-07-20,
220,693,4495,junior,348697991632625,2021-11-03,
111,1139,11836,junior,4020040613400975211,2019-03-26,
116,945,8342,junior,371922095730806,2019-05-09,
191,757,5013,junior,377708753704876,2021-05-22,
88,721,4680,junior,4032986015092020,2017-04-05,
203,95,519,junior,340060098880159,2021-08-01,
127,708,4568,junior,4849643353628930,2019-09-24,
160,247,1500,junior,3559126632387660,2020-10-08,
213,505,3233,junior,4063022165694,2021-10-09,
211,231,1390,junior,213126299117701,2021-09-29,
165,482,3104,junior,502071364389,2021-01-13,
195,991,9149,junior,30501758443007,2021-07-01,
223,404,2540,junior,3528262781781698,2021-11-12,
99,1040,9890,junior,180068530560290,2018-05-28,
149,287,1819,junior,3523293433873729,2020-06-28,
158,622,3981,junior,4847812657231616,2020-09-22,
207,752,4944,junior,4563556795213034,2021-09-06,
137,137,786,junior,3512320252267213,2020-01-10,
173,624,3985,junior,586299372357,2021-02-13,
128,197,1202,junior,675916474041,2019-10-21,
155,511,3257,junior,4062586558430576871,2020-08-06,
150,733,4764,junior,180039370498503,2020-06-30,
163,593,3787,junior,4631117689006980,2021-01-06,
198,496,3183,junior,060406847586,2021-07-21,
174,574,3640,junior,2297436162660405,2021-02-23,
226,388,2488,junior,4599861915569834389,2021-11-26,
151,122,667,junior,4878961929822249,2020-07-03,
217,614,3938,junior,3589710051281324,2021-10-16,
227,677,4382,junior,3529652938196726,2021-12-01,
218,957,8506,junior,3543022793733975,2021-10-16,
219,857,6789,junior,4194713811781,2021-10-25,
212,357,2277,junior,6576540213904218,2021-09-29,
215,754,4976,junior,6011381092863651,2021-10-10,
232,310,1947,junior,4440545937348310409,2021-12-23,
96,5,51,junior,6564550800705385,2018-04-24,
221,1070,10490,junior,345196659960678,2021-11-08,
193,631,4061,junior,6598734581069761,2021-06-09,
200,323,2065,junior,30095765913128,2021-07-24,
194,716,4651,junior,4434362850718,2021-06-11,
107,393,2498,junior,180054336977383,2018-12-03,
229,715,4639,junior,563824992025,2021-12-08,
192,358,2287,junior,213169580354559,2021-05-23,
189,8,60,junior,3553909960502570,2021-05-20,
103,97,531,junior,213178998968793,2018-09-19,
162,589,3766,junior,501852042107,2020-12-20,
204,319,2038,junior,213180821138487,2021-08-02,
148,270,1736,junior,3511451941056179,2020-06-17,
214,336,2138,junior,4430111395493343169,2021-10-09,
132,541,3427,junior,2554158001990052,2019-11-26,
110,621,3970,junior,6579621748241503,2019-03-19,
114,1100,11101,junior,4696742572754,2019-04-10,
202,740,4823,junior,2225012451317341,2021-07-28,
171,165,996,junior,4414668925257,2021-02-04,
129,813,5873,junior,213124076094201,2019-10-28,
222,636,4091,junior,370101905582555,2021-11-09,
159,1115,11375,junior,502085606890,2020-10-03,
168,67,429,junior,3527536165991358,2021-01-28,
205,1217,13098,junior,373528451917040,2021-08-09,
170,1239,13442,junior,30295545221160,2021-02-02,
179,198,1211,junior,4829596808301,2021-03-18,
140,578,3689,junior,4956885789759,2020-02-21,
135,162,967,junior,4699090492106106292,2019-12-23,
196,738,4808,junior,4808012211991937344,2021-07-02,
152,403,2538,junior,180037003147539,2020-07-12,
216,751,4941,junior,213178582484785,2021-10-15,
118,204,1239,junior,4414261317611820,2019-05-30,
130,272,1754,junior,180007640217961,2019-10-28,
125,673,4353,junior,38594738372703,2019-08-31,
208,328,2121,junior,4893538815363101235,2021-09-12,
101,592,3782,junior,2701295921278713,2018-08-07,
176,946,8359,junior,3589516993536299,2021-02-28,
92,477,3082,junior,4911814688360336038,2018-01-16,
178,228,1382,junior,4204571805673088832,2021-03-15,
89,384,2475,junior,6598834338495101,2017-09-15,
664,469,3026,classic,213198982736154,2021-06-07,
673,143,816,classic,6011247451585278,2021-06-15,
476,491,3151,classic,3555208681824746,2020-08-21,
233,1005,9285,classic,2226515145153327,2016-11-07,
355,528,3356,classic,6577485185026450,2019-10-31,
397,210,1253,classic,2483235609161231,2020-02-16,
891,635,4083,classic,372359519434088,2021-12-29,
497,343,2164,classic,373627600320849,2020-09-21,
288,92,508,classic,4927481421802624,2018-11-20,
44,1292,731,classic,4294016826696349,2021-10-03,
861,219,1329,classic,3529501563996118,2021-12-04,
234,104,588,classic,3515348437739019,2017-01-19,
630,498,3186,classic,2699897161933560,2021-04-18,
595,463,2982,classic,343357353752231,2021-02-26,
884,924,7862,classic,3568562951916771,2021-12-24,
36,518,3292,classic,3575259860385294,2021-02-10,
272,397,2513,classic,30145882754853,2018-06-24,
48,1296,1647,classic,4740951744970915,2019-06-11,
857,489,3135,classic,6011881342741912,2021-11-29,
760,134,769,classic,6011660319807405,2021-09-07,
702,640,4115,classic,4519970854549189034,2021-07-14,
566,83,483,classic,3557007802487120,2021-01-05,
376,1118,11393,classic,4315586634061717,2020-01-02,
442,133,742,classic,6011851364915900,2020-06-16,
594,726,4721,classic,2261366268032492,2021-02-26,
567,304,1913,classic,4108138312213946,2021-01-06,
451,1196,12805,classic,4454888754246545911,2020-06-27,
643,412,2585,classic,3501226961548566,2021-05-09,
490,19,130,classic,4201661139978389,2020-09-09,
251,778,5275,classic,4719521491153135,2018-01-02,
327,1055,10171,classic,060490604299,2019-07-24,
883,728,4725,classic,4338803896834696,2021-12-24,
871,479,3085,classic,3547898596562067,2021-12-16,
338,514,3267,classic,4370694807523315,2019-09-10,
624,71,441,classic,3524743580574081,2021-04-11,
589,398,2522,classic,3535744708196143,2021-02-14,
767,653,4212,classic,3506455914424733,2021-09-16,
379,22,138,classic,2256914299166388,2020-01-11,
875,735,4772,classic,4974809672431,2021-12-19,
847,257,1589,classic,676280461515,2021-11-20,
862,692,4493,classic,30355836907750,2021-12-08,
629,755,5002,classic,563616791452,2021-04-16,
726,78,468,classic,180092996656368,2021-08-04,
658,649,4190,classic,676213440396,2021-05-29,
40,1288,2650,classic,4750060656051834,2019-03-21,
374,1111,11288,classic,374951784367320,2019-12-31,
636,918,7796,classic,3516852437379899,2021-04-27,
478,502,3201,classic,180007844707254,2020-08-22,
307,372,2395,classic,4963435665941485,2019-03-31,
403,171,1027,classic,4408855299759719,2020-03-05,
506,49,305,classic,38319850463126,2020-10-03,
459,139,797,classic,6571938056137299,2020-07-14,
666,558,3568,classic,341907968286918,2021-06-07,
824,604,3858,classic,3574795605612642,2021-11-04,
475,718,4660,classic,2240041977085513,2020-08-12,
674,785,5468,classic,4864167697542417,2021-06-16,
287,1103,11189,classic,3509183945468423,2018-11-04,
526,93,510,classic,4496959769619,2020-11-09,
829,424,2659,classic,4004874806656292373,2021-11-06,
815,750,4937,classic,2368004628794905,2021-10-24,
863,131,725,classic,180016216691335,2021-12-08,
370,433,2724,classic,4548214860295813,2019-12-12,
372,243,1478,classic,3597641703217293,2019-12-13,
460,553,3522,classic,4628732789003508,2020-07-14,
599,248,1512,classic,5478411607669661,2021-03-01,
754,480,3092,classic,502078229783,2021-09-01,
439,297,1883,classic,2299078989459443,2020-06-15,
865,605,3874,classic,213114880706140,2021-12-11,
12,678,4405,classic,4126387764730574111,2020-01-20,
528,254,1578,classic,3525287629986871,2020-11-11,
779,414,2606,classic,213170967034202,2021-09-26,
598,419,2626,classic,4001468846578482,2021-02-28,
713,623,3984,classic,4124670552594677877,2021-07-25,
260,503,3225,classic,5314793590956850,2018-03-08,
685,831,6275,classic,4336750026467077229,2021-06-29,
458,588,3765,classic,341853034307926,2020-07-08,
353,1010,9413,classic,3525968874010372,2019-10-27,
371,642,4137,classic,4500850316372155,2019-12-13,
387,1093,11011,classic,2483964357842821,2020-01-20,
514,251,1525,classic,6581658608518147,2020-10-23,
390,54,334,classic,379229315220952,2020-01-24,
399,189,1157,classic,376307155479434,2020-02-19,
625,330,2124,classic,630488889845,2021-04-11,
392,534,3387,classic,377718602117626,2020-01-29,
655,161,963,classic,30555317490115,2021-05-25,
758,551,3517,classic,675908929572,2021-09-03,
43,1291,5138,classic,6506460794761082,2019-04-20,
56,1304,4740,classic,501827544955,2021-02-09,
800,288,1826,classic,30112505370830,2021-10-10,
634,109,605,classic,3503613647789185,2021-04-26,
846,1001,9247,classic,4830146127831630456,2021-11-20,
518,59,365,classic,38168099030315,2020-10-27,
536,472,3056,classic,213111978536298,2020-11-24,
572,689,4473,classic,4566758302280327750,2021-01-15,
737,47,280,classic,180033594331392,2021-08-13,
568,149,858,classic,3529080314164250,2021-01-07,
554,380,2434,classic,3589118965678314,2020-12-15,
648,756,5012,classic,4626445149121348,2021-05-18,
841,205,1242,classic,4058352268861083,2021-11-16,
759,1154,12070,classic,060419706399,2021-09-05,
359,441,2785,classic,4490069894516230,2019-11-05,
720,618,3947,classic,3500177589041982,2021-07-31,
235,747,4915,classic,3512930879505454,2017-02-05,
693,233,1418,classic,6011964435371373,2021-07-07,
739,346,2177,classic,589265770810,2021-08-14,
286,118,652,classic,575503180300,2018-10-22,
622,370,2374,classic,3581262416614441,2021-04-03,
474,628,4007,classic,213185752980146,2020-08-11,
543,590,3769,classic,3563015897475514,2020-12-02,
718,780,5333,classic,4304523574298826565,2021-07-29,
627,170,1020,classic,30419287604694,2021-04-16,
271,719,4663,classic,3583418987579243,2018-06-24,
291,462,2978,classic,580352748355,2018-12-30,
642,284,1807,classic,4117473628051006,2021-05-07,
312,977,8968,classic,4744314472825432348,2019-05-08,
280,18,128,classic,4720467003972827,2018-08-25,
548,507,3245,classic,4425243599793184,2020-12-11,
796,264,1669,classic,213123106946695,2021-10-07,
448,280,1793,classic,4398435048141302206,2020-06-22,
819,584,3751,classic,6011439598515322,2021-10-28,
351,516,3279,classic,30204025476435,2019-10-25,
850,148,834,classic,4717659395126377475,2021-11-22,
336,470,3036,classic,676239483644,2019-09-02,
687,142,810,classic,3526436733209386,2021-07-01,
317,1134,11742,classic,4522807457908126,2019-05-31,
270,559,3573,classic,3518920873091241,2018-06-17,
879,829,6255,classic,4676313859324990,2021-12-22,
388,681,4426,classic,2405195070929471,2020-01-22,
708,727,4723,classic,4209276051177,2021-07-19,
615,535,3395,classic,5327394639080482,2021-03-22,
750,367,2343,classic,344281386767728,2021-08-27,
342,163,984,classic,4354892529479036,2019-09-18,
386,1036,9735,classic,342639205429295,2020-01-17,
766,203,1231,classic,6539360423952022,2021-09-16,
515,552,3519,classic,3530650693456597,2020-10-25,
521,438,2768,classic,4565759321720708,2020-10-30,
558,608,3890,classic,213163192189107,2020-12-17,
799,533,3384,classic,4737363935244262516,2021-10-09,
470,688,4472,classic,213176118069831,2020-08-01,
522,94,513,classic,3542738515806325,2020-11-06,
503,234,1424,classic,562296297384,2020-09-29,
440,801,5684,classic,2289431673280009,2020-06-15,
854,500,3192,classic,4292720482370360,2021-11-26,
499,612,3906,classic,4145348960666,2020-09-22,
321,731,4751,classic,213190740804721,2019-06-23,
257,497,3184,classic,5380965134941387,2018-03-03,
473,1220,13160,classic,6011115444540355,2020-08-08,
657,1216,13097,classic,4933871198436,2021-05-26,
571,368,2361,classic,377895125233872,2021-01-10,
42,1290,4265,classic,3595970639481851,2021-02-23,
644,64,402,classic,6011609842960587,2021-05-10,
577,760,5126,classic,213140633604894,2021-01-19,
787,676,4380,classic,3596539764386372,2021-09-30,
723,833,6299,classic,3595363379509141,2021-08-01,
264,159,946,classic,630485684199,2018-05-01,
54,1302,3636,classic,180044767284896,2021-04-13,
798,366,2335,classic,3532957768407225,2021-10-09,
244,309,1946,classic,4496028610300154838,2017-09-19,
814,542,3439,classic,4646614202460978,2021-10-22,
513,664,4316,classic,676166428794,2020-10-22,
298,202,1228,classic,4525524566247588,2019-02-04,
675,646,4167,classic,4473073555620,2021-06-17,
275,484,3116,classic,4314343474402778785,2018-07-04,
464,512,3259,classic,6011879695547589,2020-07-24,
611,2,19,classic,676255282441,2021-03-13,
545,739,4821,classic,675939173901,2020-12-03,
801,116,646,classic,213147212592259,2021-10-11,
377,175,1040,classic,180049478234171,2020-01-03,
778,335,2137,classic,213101118618403,2021-09-25,
698,567,3611,classic,2591969891301415,2021-07-08,
335,38,242,classic,6011247854400752,2019-08-31,
549,569,3616,classic,4689309552037724063,2020-12-12,
537,237,1445,classic,5597993550975704,2020-11-25,
445,1178,12542,classic,2240205143123793,2020-06-19,
406,513,3260,classic,502084727648,2020-03-15,
734,684,4457,classic,6011382164956944,2021-08-11,
330,119,655,classic,377704205759832,2019-08-08,
580,214,1292,classic,373270658666365,2021-01-24,
732,169,1019,classic,4327246223146439,2021-08-10,
692,768,5223,classic,2306019192124243,2021-07-06,
297,606,3883,classic,3531155477478204,2019-01-22,
511,428,2698,classic,3520238857889639,2020-10-13,
563,154,887,classic,676370010263,2020-12-28,
709,603,3850,classic,582899324237,2021-07-20,
795,447,2845,classic,060451821379,2021-10-07,
487,187,1140,classic,503888897322,2020-09-07,
427,399,2527,classic,4407294715964458,2020-05-22,
454,311,1954,classic,4031511549215,2020-07-01,
614,34,225,classic,30309168929221,2021-03-20,
696,301,1899,classic,4665596070988585435,2021-07-07,
299,814,5911,classic,4570045681119,2019-02-15,
791,23,146,classic,4524816233089,2021-10-03,
671,123,679,classic,4585146800186,2021-06-12,
43,775,5253,classic,3554096968389272,2021-04-11,
613,1189,12683,classic,30427216783166,2021-03-17,
724,795,5563,classic,3578497549151367,2021-08-02,
784,765,5175,classic,6510535600070291,2021-09-29,
525,947,8366,classic,676147537028,2020-11-08,
57,1305,3257,classic,3549697540758856,2021-11-27,
341,152,876,classic,4326801505756430231,2019-09-16,
362,374,2423,classic,3503520548975096,2019-11-08,
695,440,2782,classic,5412590148498984,2021-07-07,
736,581,3721,classic,639026597232,2021-08-13,
296,106,592,classic,4116339314155,2019-01-14,
762,352,2235,classic,560052847905,2021-09-11,
382,668,4340,classic,2273423874543630,2020-01-14,
508,436,2759,classic,3584112131633423,2020-10-09,
496,896,7567,classic,6011963483881648,2020-09-18,
820,449,2865,classic,346310135845143,2021-10-28,
292,85,489,classic,4583538162539,2018-12-31,
