index,period_transactions_total,card_number,is_full_payer,payment_type,balance_percent,card_id,remaining_balance_last_period,total_amount_owed,total_amount_paid,total_interest_applied,remaining_balance_this_period,period_start,period_end,payment_completed_date,payment_due_date
322,3468.48,578086042541,0,,0,15,2761.41027588245,6229.89027588245,0,0,6229.89027588245,2018-06-27,2018-06-27,2018-06-27,2018-08-27
361,2551.42,578086042541,0,,0,15,0,2551.42,0,0,2551.42,2021-06-27,2021-06-27,2021-06-27,2021-08-27
364,3221.7,578086042541,0,,0,15,0,3221.7,0,0,3221.7,2021-09-27,2021-09-27,2021-09-27,2021-11-27
350,2309,578086042541,0,,0,15,2954.41,5583.963485,0,320.553485,5583.963485,2020-07-27,2020-07-27,2020-07-27,2020-09-27
337,6469.46,578086042541,0,,0,15,2101.45188428167,8570.91188428166,0,0,8570.91188428166,2019-07-27,2019-07-27,2019-07-27,2019-09-27
323,2688.65,578086042541,0,,0,15,6229.89027588245,9594.4833708157,0,675.943094933246,9594.4833708157,2018-07-27,2018-07-27,2018-07-27,2018-09-27
346,6831.6,578086042541,0,,0,15,4337.74238308587,11169.3423830859,0,0,11169.3423830859,2020-03-27,2020-03-27,2020-03-27,2020-05-27
371,4028.1,213108809100054,0,,0,16,0,4028.1,0,0,4028.1,2021-09-11,2021-09-11,2021-09-11,2021-11-11
385,6314.32,4720467003972827,0,,0,18,0,6314.32,0,0,6314.32,2018-11-20,2018-11-20,2018-11-20,2019-01-20
387,2219.43,4720467003972827,0,,0,18,0,2219.43,0,0,2219.43,2019-01-20,2019-01-20,2019-01-20,2019-03-20
409,4905.08,4720467003972827,0,,0,18,0,4905.08,0,0,4905.08,2020-10-20,2020-10-20,2020-10-20,2020-12-20
423,2899.29,4720467003972827,0,,0,18,0,2899.29,0,0,2899.29,2021-12-20,2021-12-20,2021-12-20,2022-02-20
530,3278.07,343284591096389,0,,0,30,0,3278.07,0,0,3278.07,2021-03-12,2021-03-12,2021-03-12,2021-05-12
533,10583.75,343284591096389,0,,0,30,10629.741956875,22037.2969585328,0,823.805001657812,22037.2969585328,2021-06-12,2021-06-12,2021-06-12,2021-08-12
536,3125.61,343284591096389,0,,0,30,31610.5412883923,37106.9418850217,0,2370.79059662942,37106.9418850217,2021-08-12,2021-08-12,2021-08-12,2021-10-12
532,3823.68,343284591096389,0,,0,30,6331.220425,10629.741956875,0,474.841531875,10629.741956875,2021-05-12,2021-05-12,2021-05-12,2021-07-12
527,3098.67,343284591096389,0,,0,30,0,3098.67,0,0,3098.67,2021-01-12,2021-01-12,2021-01-12,2021-03-12
531,2799.1,343284591096389,0,,0,30,3278.07,6331.220425,0,254.050425,6331.220425,2021-04-12,2021-04-12,2021-04-12,2021-06-12
535,12323.2,343284591096389,0,,0,30,19287.3412883923,31610.5412883923,0,0,31610.5412883923,2021-07-12,2021-07-12,2021-07-12,2021-09-12
546,7777.96,180086202921558,0,,0,32,11353.685818334,20363.5207296233,0,1231.87491128924,20363.5207296233,2021-09-10,2021-09-10,2021-09-10,2021-11-10
744,6347.02,630474235292,0,,0,44,0,6347.02,0,0,6347.02,2020-01-26,2020-01-26,2020-01-26,2020-03-26
761,13738.15,630474235292,0,,0,44,0,13738.15,0,0,13738.15,2021-05-26,2021-05-26,2021-05-26,2021-07-26
756,14839.12,630474235292,0,,0,44,0,14839.12,0,0,14839.12,2020-12-26,2020-12-26,2020-12-26,2021-02-26
800,5225.18,4289355132629538,0,,0,48,3591.31769826464,9206.15566852635,0,389.657970261713,9206.15566852635,2021-11-04,2021-11-04,2021-11-04,2022-01-04
826,8217.65,4622553697455226,0,,0,50,0,8217.65,0,0,8217.65,2020-11-07,2020-11-07,2020-11-07,2021-01-07
827,7139.24,4622553697455226,0,,0,50,8217.65,16248.505025,0,891.615025,16248.505025,2020-12-07,2020-12-07,2020-12-07,2021-02-07
820,1504.46,4622553697455226,0,,0,50,0,1504.46,0,0,1504.46,2020-05-07,2020-05-07,2020-05-07,2020-07-07
831,3917.38,4622553697455226,0,,0,50,0,3917.38,0,0,3917.38,2021-04-07,2021-04-07,2021-04-07,2021-06-07
947,1528.67,5350648640277670,0,,0,58,0,1528.67,0,0,1528.67,2021-03-09,2021-03-09,2021-03-09,2021-05-09
996,4439.67,6011609842960587,0,,0,64,0,4439.67,0,0,4439.67,2021-10-17,2021-10-17,2021-10-17,2021-12-17
1487,5137.84,4927481421802624,0,,0,92,0,5137.84,0,0,5137.84,2019-08-26,2019-08-26,2019-08-26,2019-10-26
1515,2482.76,4927481421802624,0,,0,92,0,2482.76,0,0,2482.76,2021-12-26,2021-12-26,2021-12-26,2022-02-26
1764,17398.92,3515348437739019,0,,0,104,0,17398.92,0,0,17398.92,2020-12-14,2020-12-14,2020-12-14,2021-02-14
1736,8368.9,3515348437739019,0,,0,104,0,8368.9,0,0,8368.9,2018-09-14,2018-09-14,2018-09-14,2018-11-14
1745,12089.51,3515348437739019,0,,0,104,3198.48585149912,15623.8368659065,0,335.841014407408,15623.8368659065,2019-05-14,2019-05-14,2019-05-14,2019-07-14
1760,8514.95,3515348437739019,0,,0,104,0,8514.95,0,0,8514.95,2020-08-14,2020-08-14,2020-08-14,2020-10-14
1754,7680.81,3515348437739019,0,,0,104,0,7680.81,0,0,7680.81,2020-02-14,2020-02-14,2020-02-14,2020-04-14
2157,2623.93,6569159576227056,0,,0,120,0,2623.93,0,0,2623.93,2021-05-17,2021-05-17,2021-05-17,2021-07-17
2161,2013.94,6569159576227056,0,,0,120,0,2013.94,0,0,2013.94,2021-09-17,2021-09-17,2021-09-17,2021-11-17
2232,2283.26,4474694312102,0,,0,124,0,2283.26,0,0,2283.26,2020-12-10,2020-12-10,2020-12-10,2021-02-10
3450,900.66,180050773278798,0,,0,192,0,900.66,0,0,900.66,2021-06-13,2021-06-13,2021-06-13,2021-08-13
3593,11197.65,3530753368602956,0,,0,200,0,11197.65,0,0,11197.65,2020-12-24,2020-12-24,2020-12-24,2021-02-24
3600,13796.88,3530753368602956,0,,0,200,0,13796.88,0,0,13796.88,2021-05-24,2021-05-24,2021-05-24,2021-07-24
3602,13738.83,3530753368602956,0,,0,200,28727.75312,46028.82450688,0,3562.24138688,46028.82450688,2021-07-24,2021-07-24,2021-07-24,2021-09-24
3604,15273.07,3530753368602956,0,,0,200,16134.9593361189,33408.7642937977,0,2000.73495767875,33408.7642937977,2021-09-24,2021-09-24,2021-09-24,2021-11-24
3601,13220.06,3530753368602956,0,,0,200,13796.88,28727.75312,0,1710.81312,28727.75312,2021-06-24,2021-06-24,2021-06-24,2021-08-24
3725,3361.82,4570565092686512,0,,0,208,8158.60231965444,12279.1723353823,0,758.750015727863,12279.1723353823,2018-07-02,2018-07-02,2018-07-02,2018-09-02
3722,3172.88,4570565092686512,0,,0,208,0,3172.88,0,0,3172.88,2018-04-02,2018-04-02,2018-04-02,2018-06-02
3728,2612.71,4570565092686512,0,,0,208,0,2612.71,0,0,2612.71,2018-10-02,2018-10-02,2018-10-02,2018-12-02
3723,3699.27,4570565092686512,0,,0,208,3172.88,7157.7092,0,285.5592,7157.7092,2018-05-02,2018-05-02,2018-05-02,2018-07-02
3745,3791.2,4570565092686512,0,,0,208,0,3791.2,0,0,3791.2,2020-03-02,2020-03-02,2020-03-02,2020-05-02
3751,8334.94,4570565092686512,0,,0,208,0,8334.94,0,0,8334.94,2020-09-02,2020-09-02,2020-09-02,2020-11-02
3739,7112.04,4570565092686512,0,,0,208,3141.92720754016,10546.1664378414,0,292.199230301235,10546.1664378414,2019-09-02,2019-09-02,2019-09-02,2019-11-02
3863,9169.25,30141970573727,0,,0,216,0,9169.25,0,0,9169.25,2019-08-06,2019-08-06,2019-08-06,2019-10-06
4141,4609.71,4165546275139,0,,0,232,7652.22711762125,13065.4209649715,0,803.483847350231,13065.4209649715,2021-05-11,2021-05-11,2021-05-11,2021-07-11
4133,5793.11,4165546275139,0,,0,232,0,5793.11,0,0,5793.11,2020-10-11,2020-10-11,2020-10-11,2020-12-11
4140,4923.59,4165546275139,0,,0,232,2461.55806731732,7652.22711762125,0,267.079050303929,7652.22711762125,2021-04-11,2021-04-11,2021-04-11,2021-06-11
4354,1991.05,5478411607669661,0,,0,248,0,1991.05,0,0,1991.05,2021-10-27,2021-10-27,2021-10-27,2021-12-27
6563,1091.69,6598834338495101,0,,0,384,0,1091.69,0,0,1091.69,2017-08-25,2017-08-25,2017-08-25,2017-10-25
6599,4853.91,6598834338495101,0,,0,384,4540.30159139089,10075.2568300995,0,681.045238708633,10075.2568300995,2020-08-25,2020-08-25,2020-08-25,2020-10-25
6597,6938.37,6598834338495101,0,,0,384,0,6938.37,0,0,6938.37,2020-06-25,2020-06-25,2020-06-25,2020-08-25
6604,4285.4,6598834338495101,0,,0,384,0,4285.4,0,0,4285.4,2021-01-25,2021-01-25,2021-01-25,2021-03-25
6586,8137.06,6598834338495101,0,,0,384,0,8137.06,0,0,8137.06,2019-07-25,2019-07-25,2019-07-25,2019-09-25
6565,4759.32,6598834338495101,0,,0,384,3778.40263341065,9104.48302842225,0,566.760395011598,9104.48302842225,2017-10-25,2017-10-25,2017-10-25,2017-12-25
6567,4809.13,6598834338495101,0,,0,384,0,4809.13,0,0,4809.13,2017-12-25,2017-12-25,2017-12-25,2018-02-25
8063,3145.82,502078229783,0,,0,480,0,3145.82,0,0,3145.82,2021-09-27,2021-09-27,2021-09-27,2021-11-27
9523,2756.36,4136128737527109,0,,0,576,0,2756.36,0,0,2756.36,2020-11-17,2020-11-17,2020-11-17,2021-01-17
9534,1151.53,4136128737527109,0,,0,576,0,1151.53,0,0,1151.53,2021-10-17,2021-10-17,2021-10-17,2021-12-17
10055,1679.15,213163192189107,0,,0,608,0,1679.15,0,0,1679.15,2021-09-08,2021-09-08,2021-09-08,2021-11-08
10056,1894.48,213163192189107,0,,0,608,1679.15,3749.94075,0,176.31075,3749.94075,2021-10-08,2021-10-08,2021-10-08,2021-12-08
10432,1009.96,4519970854549189034,0,,0,640,0,1009.96,0,0,1009.96,2021-12-14,2021-12-14,2021-12-14,2022-02-14
15243,89.36,2294608889287075,0,,0,1280,0,89.36,0,0,89.36,2021-08-27,2021-08-27,2021-08-27,2021-10-27
13634,1270.49,4072912439440,0,,0,1025,0,1270.49,0,0,1270.49,2021-10-22,2021-10-22,2021-10-22,2021-12-22
9556,1230.23,3538005273613368,0,,0,577,0,1230.23,0,0,1230.23,2018-08-18,2018-08-18,2018-08-18,2018-10-18
9594,1751.2,3538005273613368,0,,0,577,2529.66726750295,4555.33616602702,0,274.468898524071,4555.33616602702,2021-07-18,2021-07-18,2021-07-18,2021-09-18
9567,1644.78,3538005273613368,0,,0,577,0,1644.78,0,0,1644.78,2019-07-18,2019-07-18,2019-07-18,2019-09-18
9578,1704.76,3538005273613368,0,,0,577,0,1704.76,0,0,1704.76,2020-06-18,2020-06-18,2020-06-18,2020-08-18
9597,1775.12,3538005273613368,0,,0,577,0,1775.12,0,0,1775.12,2021-10-18,2021-10-18,2021-10-18,2021-12-18
9595,1716.49,3538005273613368,0,,0,577,4555.33616602702,6750.13646345986,0,478.310297432838,6750.13646345986,2021-08-18,2021-08-18,2021-08-18,2021-10-18
9559,4863.08,3538005273613368,0,,0,577,3173.42672348298,8380.82352298089,0,344.316799497904,8380.82352298089,2018-11-18,2018-11-18,2018-11-18,2019-01-18
9569,1581.46,3538005273613368,0,,0,577,0,1581.46,0,0,1581.46,2019-09-18,2019-09-18,2019-09-18,2019-11-18
9557,1216.15,3538005273613368,0,,0,577,1230.23,2579.859955,0,133.479955,2579.859955,2018-09-18,2018-09-18,2018-09-18,2018-11-18
11412,14156.86,3548122358740046,0,,0,705,0,14156.86,0,0,14156.86,2019-08-06,2019-08-06,2019-08-06,2019-10-06
11405,1817.37,3548122358740046,0,,0,705,0,1817.37,0,0,1817.37,2019-01-06,2019-01-06,2019-01-06,2019-03-06
11429,5293.43,3548122358740046,0,,0,705,0,5293.43,0,0,5293.43,2020-12-06,2020-12-06,2020-12-06,2021-02-06
11430,920.52,3548122358740046,0,,0,705,5293.43,6751.233145,0,537.283145,6751.233145,2021-01-06,2021-01-06,2021-01-06,2021-03-06
12781,7300.69,2289431673280009,0,,0,801,0,7300.69,0,0,7300.69,2020-12-03,2020-12-03,2020-12-03,2021-02-03
12776,4180.74,2289431673280009,0,,0,801,0,4180.74,0,0,4180.74,2020-07-03,2020-07-03,2020-07-03,2020-09-03
13138,7583.17,3520436812161850,0,,0,897,0,7583.17,0,0,7583.17,2021-06-18,2021-06-18,2021-06-18,2021-08-18
13136,5079.12,3520436812161850,0,,0,897,12754.8398036079,19217.8599222994,0,1383.90011869146,19217.8599222994,2021-04-18,2021-04-18,2021-04-18,2021-06-18
13133,13611.98,3520436812161850,0,,0,897,0,13611.98,0,0,13611.98,2021-01-18,2021-01-18,2021-01-18,2021-03-18
15261,7491.94,6590540951496171,0,,0,1282,0,7491.94,0,0,7491.94,2021-06-09,2021-06-09,2021-06-09,2021-08-09
15254,2058.62,6590540951496171,0,,0,1282,0,2058.62,0,0,2058.62,2020-11-09,2020-11-09,2020-11-09,2021-01-09
15257,11239.25,6590540951496171,0,,0,1282,0,11239.25,0,0,11239.25,2021-02-09,2021-02-09,2021-02-09,2021-04-09
16550,6150.67,4941937672268510,0,,0,1410,0,6150.67,0,0,6150.67,2021-11-02,2021-11-02,2021-11-02,2022-01-02
5280,1972.83,4339874017963,0,,0,305,0,1972.83,0,0,1972.83,2020-10-05,2020-10-05,2020-10-05,2020-12-05
5718,6494.78,4448798493292966,0,,0,337,0,6494.78,0,0,6494.78,2020-05-12,2020-05-12,2020-05-12,2020-07-12
5733,9130.81,4448798493292966,0,,0,337,0,9130.81,0,0,9130.81,2021-08-12,2021-08-12,2021-08-12,2021-10-12
5719,17349.69,4448798493292966,0,,0,337,6494.78,24549.15363,0,704.68363,24549.15363,2020-06-12,2020-06-12,2020-06-12,2020-08-12
6206,4498.68,6564581387303880,0,,0,369,0,4498.68,0,0,4498.68,2020-04-27,2020-04-27,2020-04-27,2020-06-27
6222,6185.3,6564581387303880,0,,0,369,2673.36182602709,9190.15869245445,0,331.496866427359,9190.15869245445,2021-07-27,2021-07-27,2021-07-27,2021-09-27
6212,7139.04,6564581387303880,0,,0,369,0,7139.04,0,0,7139.04,2020-09-27,2020-09-27,2020-09-27,2020-11-27
6191,8512.1,6564581387303880,0,,0,369,11887.8864664893,20399.9864664893,0,0,20399.9864664893,2019-01-27,2019-01-27,2019-01-27,2019-03-27
7299,8556.26,4548214860295813,0,,0,433,0,8556.26,0,0,8556.26,2021-08-08,2021-08-08,2021-08-08,2021-10-08
7288,5275.2,4548214860295813,0,,0,433,0,5275.2,0,0,5275.2,2020-10-08,2020-10-08,2020-10-08,2020-12-08
7302,6758.56,4548214860295813,0,,0,433,0,6758.56,0,0,6758.56,2021-11-08,2021-11-08,2021-11-08,2022-01-08
8341,2069.28,5380965134941387,0,,0,497,0,2069.28,0,0,2069.28,2020-07-27,2020-07-27,2020-07-27,2020-09-27
8343,3616.37,5380965134941387,0,,0,497,3749.88855829841,7773.12146687379,0,406.862908575378,7773.12146687379,2020-09-27,2020-09-27,2020-09-27,2020-11-27
8654,1335.79,4370694807523315,0,,0,514,0,1335.79,0,0,1335.79,2020-04-22,2020-04-22,2020-04-22,2020-06-22
8650,1158.19,4370694807523315,0,,0,514,0,1158.19,0,0,1158.19,2019-12-22,2019-12-22,2019-12-22,2020-02-22
9069,2498.38,4159303020812818187,0,,0,546,0,2498.38,0,0,2498.38,2021-05-19,2021-05-19,2021-05-19,2021-07-19
9061,2162.05,4159303020812818187,0,,0,546,0,2162.05,0,0,2162.05,2020-10-19,2020-10-19,2020-10-19,2020-12-19
9076,1354.25,4159303020812818187,0,,0,546,0,1354.25,0,0,1354.25,2021-12-19,2021-12-19,2021-12-19,2022-02-19
10438,847.84,4500850316372155,0,,0,642,1250.45,2233.963825,0,135.673825,2233.963825,2020-04-23,2020-04-23,2020-04-23,2020-06-23
10450,1541.87,4500850316372155,0,,0,642,382.44287669287,1964.46937874562,0,40.1565020527513,1964.46937874562,2021-03-23,2021-03-23,2021-03-23,2021-05-23
10437,1250.45,4500850316372155,0,,0,642,0,1250.45,0,0,1250.45,2020-03-23,2020-03-23,2020-03-23,2020-05-23
11446,4984.32,30455386845937,0,,0,706,0,4984.32,0,0,4984.32,2020-04-22,2020-04-22,2020-04-22,2020-06-22
11468,2882.68,30455386845937,0,,0,706,29946.9171845,35614.6604826585,0,2785.0632981585,35614.6604826585,2021-12-22,2021-12-22,2021-12-22,2022-02-22
11457,5591.53,30455386845937,0,,0,706,4111.06,10084.91858,0,382.32858,10084.91858,2021-02-22,2021-02-22,2021-02-22,2021-04-22
11459,16019.56,30455386845937,0,,0,706,10435.654270991,26455.214270991,0,0,26455.214270991,2021-03-22,2021-03-22,2021-03-22,2021-05-22
11454,11548.67,30455386845937,0,,0,706,0,11548.67,0,0,11548.67,2020-11-22,2020-11-22,2020-11-22,2021-01-22
11467,13282.42,30455386845937,0,,0,706,15246.5665,29946.9171845,0,1417.9306845,29946.9171845,2021-11-22,2021-11-22,2021-11-22,2022-01-22
11449,6600.4,30455386845937,0,,0,706,0,6600.4,0,0,6600.4,2020-07-22,2020-07-22,2020-07-22,2020-09-22
11447,5990.2,30455386845937,0,,0,706,4984.32,11423.1088,0,448.5888,11423.1088,2020-05-22,2020-05-22,2020-05-22,2020-07-22
11466,10710.15,30455386845937,0,,0,706,4161.85,15246.5665,0,374.5665,15246.5665,2021-10-22,2021-10-22,2021-10-22,2021-12-22
11456,4111.06,30455386845937,0,,0,706,0,4111.06,0,0,4111.06,2021-01-22,2021-01-22,2021-01-22,2021-03-22
11452,5550.63,30455386845937,0,,0,706,0,5550.63,0,0,5550.63,2020-09-22,2020-09-22,2020-09-22,2020-11-22
11465,4161.85,30455386845937,0,,0,706,0,4161.85,0,0,4161.85,2021-09-22,2021-09-22,2021-09-22,2021-11-22
12042,8824.33,4808012211991937344,0,,0,738,4775.42,14339.9401,0,740.1901,14339.9401,2021-12-01,2021-12-01,2021-12-01,2022-02-01
12041,4775.42,4808012211991937344,0,,0,738,0,4775.42,0,0,4775.42,2021-11-01,2021-11-01,2021-11-01,2022-01-01
15275,9099.24,4864511936895,0,,0,1284,0,9099.24,0,0,9099.24,2020-04-25,2020-04-25,2020-04-25,2020-06-25
15276,2916.35,4864511936895,0,,0,1284,9099.24,12971.0102,0,955.4202,12971.0102,2020-05-25,2020-05-25,2020-05-25,2020-07-25
15790,15506.61,3504176380908098,0,,0,1349,0,15506.61,0,0,15506.61,2021-12-09,2021-12-09,2021-12-09,2022-02-09
16583,8302.92,30088429623381,0,,0,1413,5264.39628307796,14120.0778928011,0,552.761609723186,14120.0778928011,2021-08-27,2021-08-27,2021-08-27,2021-10-27
16582,2214.09,30088429623381,0,,0,1413,2751.74224905545,5264.39628307796,0,298.564034022516,5264.39628307796,2021-07-27,2021-07-27,2021-07-27,2021-09-27
16581,900.1,30088429623381,0,,0,1413,1670.40347230983,2751.74224905545,0,181.238776745617,2751.74224905545,2021-06-27,2021-06-27,2021-06-27,2021-08-27
16585,802.1,30088429623381,0,,0,1413,17918.8763441701,20602.4583603079,0,1881.48201613786,20602.4583603079,2021-10-27,2021-10-27,2021-10-27,2021-12-27
16584,2266.77,30088429623381,0,,0,1413,14120.0778928011,17918.8763441701,0,1532.02845136892,17918.8763441701,2021-09-27,2021-09-27,2021-09-27,2021-11-27
9639,8622.26,4955330231543123,0,,0,579,7197.43428820569,16600.615908476,0,780.921620270317,16600.615908476,2021-09-02,2021-09-02,2021-09-02,2021-11-02
10469,1112.49,3530215124405231,0,,0,643,0,1112.49,0,0,1112.49,2021-10-11,2021-10-11,2021-10-11,2021-12-11
10465,1401.15,3530215124405231,0,,0,643,0,1401.15,0,0,1401.15,2021-06-11,2021-06-11,2021-06-11,2021-08-11
12493,6026.63,6011201940984238,0,,0,771,0,6026.63,0,0,6026.63,2021-09-03,2021-09-03,2021-09-03,2021-11-03
12477,6618.83,6011201940984238,0,,0,771,0,6618.83,0,0,6618.83,2020-07-03,2020-07-03,2020-07-03,2020-09-03
12471,8153.65,6011201940984238,0,,0,771,3606.46124781786,12164.0349075735,0,403.9236597556,12164.0349075735,2020-01-03,2020-01-03,2020-01-03,2020-03-03
12473,4995.13,6011201940984238,0,,0,771,0,4995.13,0,0,4995.13,2020-03-03,2020-03-03,2020-03-03,2020-05-03
12480,4874,6011201940984238,0,,0,771,12624.7106824932,19064.1748071224,0,1565.46412462916,19064.1748071224,2020-09-03,2020-09-03,2020-09-03,2020-11-03
12490,5873.09,6011201940984238,0,,0,771,0,5873.09,0,0,5873.09,2021-06-03,2021-06-03,2021-06-03,2021-08-03
12799,13746.5,213114997162492,0,,0,803,5101.47237546475,18847.9723754647,0,0,18847.9723754647,2021-05-13,2021-05-13,2021-05-13,2021-07-13
12800,8385.6,213114997162492,0,,0,803,18847.9723754647,29278.5773782027,0,2045.00500273793,29278.5773782027,2021-06-13,2021-06-13,2021-06-13,2021-08-13
14622,9673.46,3594520080980447,0,,0,1223,0,9673.46,0,0,9673.46,2018-11-18,2018-11-18,2018-11-18,2019-01-18
14628,7924.05,3594520080980447,0,,0,1223,4223.98642225808,12781.6343855968,0,633.597963338713,12781.6343855968,2019-05-18,2019-05-18,2019-05-18,2019-07-18
16599,3874.18,30034460984886,0,,0,1415,0,3874.18,0,0,3874.18,2021-04-15,2021-04-15,2021-04-15,2021-06-15
16600,5030.01,30034460984886,0,,0,1415,3874.18,9310.9789,0,406.7889,9310.9789,2021-05-15,2021-05-15,2021-05-15,2021-07-15
2411,3102.29,3512320252267213,0,,0,137,2333.85983091751,5797.89810470973,0,361.748273792215,5797.89810470973,2020-02-01,2020-02-01,2020-02-01,2020-04-01
2419,4250.73,3512320252267213,0,,0,137,0,4250.73,0,0,4250.73,2020-10-01,2020-10-01,2020-10-01,2020-12-01
2420,5623.35,3512320252267213,0,,0,137,4250.73,10532.94315,0,658.86315,10532.94315,2020-11-01,2020-11-01,2020-11-01,2021-01-01
2424,3462.56,3512320252267213,0,,0,137,0,3462.56,0,0,3462.56,2021-02-01,2021-02-01,2021-02-01,2021-04-01
2626,3655.97,4521062260783885094,0,,0,153,0,3655.97,0,0,3655.97,2020-12-01,2020-12-01,2020-12-01,2021-02-01
2624,7354.32,4521062260783885094,0,,0,153,0,7354.32,0,0,7354.32,2020-10-01,2020-10-01,2020-10-01,2020-12-01
3457,2306.61,4472092525440,0,,0,193,0,2306.61,0,0,2306.61,2021-09-05,2021-09-05,2021-09-05,2021-11-05
3771,2646.06,376646825422278,0,,0,209,1156.51573240585,3924.00988430847,0,121.434151902614,3924.00988430847,2021-10-26,2021-10-26,2021-10-26,2021-12-26
3774,1735.96,376646825422278,0,,0,209,5924.86421037054,7660.82421037054,0,0,7660.82421037054,2021-12-26,2021-12-26,2021-12-26,2022-02-26
3767,6753.31,376646825422278,0,,0,209,0,6753.31,0,0,6753.31,2021-07-26,2021-07-26,2021-07-26,2021-09-26
4362,15783.41,4371904112621,0,,0,249,14401.0157706619,31746.9359817787,0,1562.51021111682,31746.9359817787,2021-07-02,2021-07-02,2021-07-02,2021-09-02
4360,14758.59,4371904112621,0,,0,249,2897.5992535388,17960.4371751604,0,304.247921621574,17960.4371751604,2021-05-02,2021-05-02,2021-05-02,2021-07-02
4960,5690.64,6011706177154073,0,,0,290,5925.91118388727,11616.5511838873,0,0,11616.5511838873,2021-10-02,2021-10-02,2021-10-02,2021-12-02
4961,2768.95,6011706177154073,0,,0,290,11616.5511838873,15285.7839006385,0,900.282716751263,15285.7839006385,2021-11-02,2021-11-02,2021-11-02,2022-01-02
4955,4648.42,6011706177154073,0,,0,290,0,4648.42,0,0,4648.42,2021-07-02,2021-07-02,2021-07-02,2021-09-02
4958,1445.34,6011706177154073,0,,0,290,2594.28185982366,4240.67870396,0,201.056844136334,4240.67870396,2021-09-02,2021-09-02,2021-09-02,2021-11-02
8711,22428.1,30204025476435,0,,0,516,7899.88195447962,30327.9819544796,0,0,30327.9819544796,2021-06-24,2021-06-24,2021-06-24,2021-08-24
8702,9612.9,30204025476435,0,,0,516,14830.0645485782,26000.1213261789,0,1557.15677760071,26000.1213261789,2020-10-24,2020-10-24,2020-10-24,2020-12-24
8691,18828.45,30204025476435,0,,0,516,0,18828.45,0,0,18828.45,2019-11-24,2019-11-24,2019-11-24,2020-01-24
8701,8707.79,30204025476435,0,,0,516,5523.02620530286,14830.0645485782,0,599.24834327536,14830.0645485782,2020-09-24,2020-09-24,2020-09-24,2020-11-24
8714,8965.99,30204025476435,0,,0,516,0,8965.99,0,0,8965.99,2021-09-24,2021-09-24,2021-09-24,2021-11-24
10135,3381.18,4145348960666,0,,0,612,0,3381.18,0,0,3381.18,2021-09-20,2021-09-20,2021-09-20,2021-11-20
10138,4427.64,4145348960666,0,,0,612,0,4427.64,0,0,4427.64,2021-11-20,2021-11-20,2021-11-20,2022-01-20
10123,3221.01,4145348960666,0,,0,612,0,3221.01,0,0,3221.01,2020-09-20,2020-09-20,2020-09-20,2020-11-20
12062,2580.55,2225012451317341,0,,0,740,0,2580.55,0,0,2580.55,2021-10-21,2021-10-21,2021-10-21,2021-12-21
