ssn,first_name,last_name,gender,street,address,job,profile,client_id,district_id,disp_id,traffice_source,dob,age
817-47-1512,Elizabeth,Robinson,F,13747 Matthews Isle Apt. 005,Aurora|CO|80015|39.6255|-104.7874|389246,Exercise physiologist,adults_2550_female_urban,5232,74,5232,Email,1972-04-06,50
325-82-2815,Kim,Torres,F,125 Smith Mountains,Denver|CO|80234|39.9108|-105.0109|990452,Dispensing optician,adults_2550_female_urban,2168,46,2168,Email,1987-07-12,35
593-67-2193,Sarah,Cooper,F,243 David Station Apt. 742,Denver|CO|80223|39.7002|-105.0028|990452,"Psychologist, forensic",adults_2550_female_urban,3992,71,3992,Email,1972-11-10,49
702-86-8333,Elizabeth,Green,F,3012 Cassie Ports Apt. 086,Denver|CO|80221|39.838|-104.9988|990452,Television/film/video producer,adults_2550_female_urban,3984,1,3984,Email,1988-03-13,34
484-31-6054,Tonya,Drake,F,2725 Joseph Inlet,Denver|CO|80222|39.671|-104.9279|990452,"Presenter, broadcasting",adults_2550_female_urban,4937,54,4937,Email,1984-11-09,37
581-39-6995,Jasmin,Estrada,F,488 Scott Rest,Littleton|CO|80121|39.6111|-104.9532|320420,"Geologist, engineering",adults_2550_female_urban,722,62,722,Email,1994-11-25,27
096-94-7010,Jennifer,Mathews,F,490 William Ramp Apt. 335,Aurora|CO|80012|39.6987|-104.8377|389246,Purchasing manager,adults_2550_female_urban,2401,26,2401,Email,1972-01-26,50
747-05-8436,Barbara,Townsend,F,15974 Randall Ramp,Parker|CO|80138|39.5102|-104.7216|84861,"Research officer, trade union",adults_2550_female_urban,77,1,77,Email,1980-02-18,42
731-77-3976,Kelly,Long,F,090 Jeremy Greens Apt. 681,Littleton|CO|80124|39.5506|-104.8972|320420,Charity officer,adults_2550_female_urban,2619,63,2619,Email,1993-07-09,29
631-95-2421,Maria,Hall,F,596 Corey Lock Suite 462,Castle Rock|CO|80108|39.4455|-104.853|67419,Fashion designer,adults_2550_female_urban,816,17,816,Email,1982-02-01,40
095-99-0428,Colleen,Mitchell,F,0299 Jill Inlet,Greeley|CO|80634|40.4109|-104.7541|101464,Adult nurse,adults_2550_female_urban,615,68,615,Email,1973-09-13,49
766-29-3684,Teresa,Hubbard,F,1821 Page Mill,Colorado Springs|CO|80904|38.8533|-104.8595|525713,Wellsite geologist,adults_2550_female_urban,464,24,464,Email,1983-07-30,39
514-03-5385,Alicia,Haley,F,302 Derrick Loaf,Lafayette|CO|80026|39.998|-105.0963|26378,Barista,adults_2550_female_urban,2259,19,2259,Email,1974-01-02,48
091-35-7563,Chelsea,Villegas,F,3486 Wilcox Mall,Aurora|CO|80011|39.7378|-104.8152|389246,Garment/textile technologist,adults_2550_female_urban,2332,60,2332,Email,1973-12-22,48
599-96-0140,Donna,Moore,F,815 Tara Fort Apt. 273,Fort Collins|CO|80525|40.5384|-105.0547|175625,"Scientist, clinical (histocompatibility and immunogenetics)",adults_2550_female_urban,1536,37,1536,Email,1991-10-13,30
534-24-6142,Amy,Pugh,F,6648 Woods Club,Englewood|CO|80113|39.6405|-104.9614|99594,Banker,adults_2550_female_urban,1492,9,1492,Email,1992-05-09,30
698-55-2368,Molly,Lawson,F,156 Ross Station Suite 907,Denver|CO|80219|39.6956|-105.0341|990452,Clinical research associate,adults_2550_female_urban,605,1,605,Email,1994-08-27,28
344-02-2065,Vanessa,Knight,F,8173 White Motorway,Littleton|CO|80123|39.6206|-105.0901|320420,Fast food restaurant manager,adults_2550_female_urban,859,1,859,Email,1992-07-29,30
347-18-9154,Melanie,Perry,F,23767 Robert Ridge Apt. 716,Colorado Springs|CO|80905|38.8377|-104.837|525713,Horticultural therapist,adults_2550_female_urban,1812,36,1812,Email,1971-05-17,51
248-10-6868,Lisa,Wall,F,2124 Martinez Roads Suite 384,Greeley|CO|80631|40.385|-104.6806|101464,"Nurse, learning disability",adults_2550_female_urban,114,74,114,Email,1993-06-24,29
660-67-4279,Lisa,Carter,F,93534 Shawn Spurs,Aurora|CO|80014|39.6662|-104.835|389246,Film/video editor,adults_2550_female_urban,10528,47,10220,Email,1976-02-16,46
022-73-8541,Kristin,Olson,F,40494 Colin Oval Apt. 226,Denver|CO|80230|39.7218|-104.8951|990452,"Optician, dispensing",adults_2550_female_urban,5249,5,5249,Email,1995-01-05,27
231-19-9037,Robin,Clark,F,167 Riggs Camp Suite 787,Aurora|CO|80018|39.7102|-104.7071|389246,Rural practice surveyor,adults_2550_female_urban,7286,47,7286,Email,1994-02-10,28
814-93-9864,Kathleen,Phillips,F,991 Adams Hills Apt. 941,Aurora|CO|80016|39.6012|-104.7394|389246,"Engineer, civil (consulting)",adults_2550_female_urban,2226,74,2226,Email,1988-10-09,33
372-78-2881,Frances,Li,F,3119 Williams Throughway,Longmont|CO|80503|40.1559|-105.1624|117461,Research scientist (life sciences),adults_2550_female_urban,928,66,928,Email,1975-10-10,46
829-90-0843,Jennifer,Rodriguez,F,7545 Hale Estates,Aurora|CO|80019|39.7656|-104.7069|389246,Geophysicist/field seismologist,adults_2550_female_urban,1220,40,1220,Email,1977-12-16,44
036-94-8554,Lynn,Williams,F,43832 Martinez Fork,Littleton|CO|80121|39.6111|-104.9532|320420,Magazine journalist,adults_2550_female_urban,4504,33,4504,Email,1989-11-24,32
245-92-4023,Shelley,Campbell,F,13389 Dominguez Tunnel Apt. 992,Greeley|CO|80631|40.385|-104.6806|101464,Quarry manager,adults_2550_female_urban,791,68,791,Email,1974-09-29,47
704-53-8846,Danielle,Jackson,F,7140 Solomon Locks,Denver|CO|80218|39.7327|-104.9717|990452,Manufacturing systems engineer,adults_2550_female_urban,2267,1,2267,Email,1990-04-10,32
682-23-1460,Tammy,Baker,F,11269 Lawrence Lock,Denver|CO|80224|39.688|-104.9108|990452,"Nurse, adult",adults_2550_female_urban,3721,64,3721,Email,1978-12-16,43
436-27-1364,Julie,Wyatt,F,3661 Darius Trace Suite 868,Denver|CO|80211|39.7665|-105.0204|990452,Medical illustrator,adults_2550_female_urban,4349,1,4349,Email,1983-08-22,39
159-85-8569,Sydney,Kelly,F,010 Wright Summit Suite 778,Denver|CO|80221|39.838|-104.9988|990452,Pensions consultant,adults_2550_female_urban,4518,39,4518,Email,1976-04-04,46
553-92-6035,Angela,Chapman,F,5239 Wells Manor,Pueblo|CO|81003|38.2843|-104.6234|151815,Arts administrator,adults_2550_female_urban,3414,11,3414,Email,1971-10-17,50
436-85-4050,Alexa,Santana,F,4590 Kennedy Lake,Denver|CO|80220|39.7312|-104.9129|990452,Lawyer,adults_2550_female_urban,716,1,716,Email,1978-12-04,43
829-81-4217,Diana,Lynn,F,15094 Moore Forks Apt. 644,Aurora|CO|80012|39.6987|-104.8377|389246,"Psychologist, clinical",adults_2550_female_urban,4426,26,4426,Email,1993-09-13,29
878-24-7294,Amanda,Proctor,F,75723 Nancy Spur,Denver|CO|80220|39.7312|-104.9129|990452,Clinical research associate,adults_2550_female_urban,1791,5,1791,Email,1990-05-12,32
469-99-0598,Melissa,Fisher,F,239 Sarah Landing,Littleton|CO|80121|39.6111|-104.9532|320420,"Accountant, chartered management",adults_2550_female_urban,3357,63,3357,Email,1978-07-21,44
880-88-8050,Claire,Williams,F,2273 Brent Ridges,Denver|CO|80215|39.7435|-105.1009|990452,Toxicologist,adults_2550_female_urban,4684,1,4684,Email,1977-03-05,45
119-43-5949,Colleen,Wolfe,F,8353 Carrie Corner,Fort Collins|CO|80525|40.5384|-105.0547|175625,Location manager,adults_2550_female_urban,10145,4,9837,Email,1989-07-25,33
895-30-3764,Lori,Franklin,F,547 Morris Squares,Denver|CO|80205|39.759|-104.9661|990452,"Designer, interior/spatial",adults_50up_female_urban,1322,4,1322,Email,1969-09-22,52
606-51-1016,Isabel,Powell,F,39701 Taylor Valley,Littleton|CO|80130|39.5414|-104.9218|320420,Medical illustrator,adults_50up_female_urban,1800,63,1800,Email,1967-09-28,54
066-81-8847,Margaret,Moore,F,4177 Dawn Well,Denver|CO|80215|39.7435|-105.1009|990452,"Designer, jewellery",adults_50up_female_urban,5016,1,5016,Email,1970-01-05,52
024-94-4292,Amy,Cox,F,408 Rodriguez Rue Apt. 202,Denver|CO|80223|39.7002|-105.0028|990452,Civil Service fast streamer,adults_50up_female_urban,11319,1,11011,Email,1966-04-14,56
241-19-2086,Anne,Davenport,F,029 Timothy Brooks Suite 553,Colorado Springs|CO|80920|38.9497|-104.767|525713,Audiological scientist,adults_50up_female_urban,3874,61,3874,Email,1966-08-10,56
806-27-4181,Morgan,Martin,F,379 West Ranch Apt. 434,Denver|CO|80212|39.7683|-105.0493|990452,Ambulance person,adults_50up_female_urban,954,1,954,Email,1966-10-20,55
